Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F (Fe/Mg),TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
LAR06319, None ,Y,1,17.66772515618869,0.86,0.6558641177732983,0.3087517403214191,1440.9198817034764,0.5557144608294512,1551.4441251546473,5.586763570567761,46.73041052647137,0.5526050100697303,4.665716079149144,0.5007405798314543,0.9660754624292751,18.977560708642176,0.4559874838342472,20.290196784422825,5.314557472102454,0.9284054089703535,0.15483971528015683,0.0,0.4629047687967606,0.0
NWA1068-1110, None ,Y,1,3.3190075489963813,0.84,0.6160133787989238,0.3043810556895881,1402.7007893602324,0.3674598516384176,1502.9516909921506,4.6520264528827555,45.525629186877694,0.7449455039128022,5.5602041155582596,0.6163458037987127,1.0998224231284437,19.30808422463614,0.45461809360688016,17.377015645958842,7.651082295403773,1.101725631462216,0.15462815880171446,0.0,0.4058989168545005,0.0
EETA79001A, None ,Y,1,1.5912698483646797,0.84,0.6282020130136742,0.3290754761234733,1388.2308358184096,0.4401876042433387,1483.7324288800403,4.34474080473591,49.26339220347111,0.6827338079484766,5.7627348614470595,0.6080800997565123,0.9967091208470402,17.28580116452384,0.47322748212516275,16.38489863136263,7.080185345466804,0.8383493756161118,0.03899299421470287,0.0,0.584894913220543,0.0
NWA6234, None ,Y,1,7.930492109379355,0.85,0.6326206650047572,0.2976457066626842,1429.1671821247103,0.43962447949080863,1537.0318196071005,5.276897779389838,44.63421356949111,0.7673326339970775,4.83327504624972,0.6144856111693046,1.1047530170258106,20.021164112458376,0.5497373936824583,19.341044863582052,6.332557549612377,0.9707220988813297,0.07467093068317922,0.0,0.7560431731671896,0.0
SaU051, None ,Y,1,-15.93567458341171,0.83,0.5971457563013851,0.2983927604993262,1387.8047155821403,0.32260448484673115,1483.162405710491,4.3360060765237005,44.50288219178212,0.5199119626900377,5.134739756820085,0.8551288763863346,1.2900461050456438,19.669537534023345,0.2874659743210063,16.356429742121993,9.914792375623609,0.9472622117880602,0.01410975971865591,0.0,0.5076935096791528,0.0
NWA4925, None ,Y,1,-2.1222592178503406,0.84,0.6322650052557068,0.32365428613215774,1393.1408424329923,0.44261469859586444,1490.2856270142092,4.446642203248066,48.668212627479534,0.8668903412679669,5.303018701069,0.3199768914958062,1.0320763258011756,17.330219904685265,0.5590159661441131,16.715917311310573,7.247252039486213,0.9787099456301668,0.0667302235656932,0.0,0.9119797220644736,0.0
NWA5990, VT ,Y,1,6.1863691562361085,0.85,0.6179078401681489,0.28745242492794326,1424.5927503293021,0.34837332737786436,1531.2788221590286,5.162199840278264,42.74514527918763,0.6893423726339607,6.639459907171,0.40046280390667555,1.1713114605198287,20.92706055168786,0.46210918593249894,18.985662934133973,6.259497278247845,0.7548661661095519,0.019110535850874733,0.0,0.9459715246182991,0.0
SaU005, None ,Y,1,-9.601288462737518,0.85,0.6419599342094697,0.32314372026332394,1413.3546449265252,0.5212664313295369,1516.8787597275114,4.892820552111958,48.466898490668655,0.4657907134267916,5.02901319239783,0.8386940361778572,1.1337634151199871,18.03635358335121,0.48193307543077735,18.14207643426349,6.368629273883126,0.6674985742148072,0.02447494772120959,0.0,0.34487426334431703,0.0
DaG476-489, None ,Y,1,-18.19587048369729,0.83,0.6145918994204663,0.3347398065910128,1359.152742801803,0.41166259366670377,1444.5188816882323,3.7845143939454102,50.08402763585044,0.4761629651005581,5.4638520434692195,0.8932093609042691,1.1113597388245156,16.23900944358689,0.48485091521610907,14.527386256381085,9.432165391733442,0.7347947316533063,0.050006863718197965,0.0,0.5031746535619922,0.0
Dho019, None ,Y,1,5.414936019868244,0.83,0.6155028979123678,0.3176066829469348,1390.5877932522121,0.4077871933700407,1486.8817110233063,4.393365771863561,47.44186488341977,0.4862179714263124,5.530948426221847,0.9811097805407348,1.0272457776258856,18.421206587558043,0.4605554725798065,16.543106296142042,7.832518142133216,0.8818667592467642,0.0445652526591373,0.0,0.34879465044643826,0.0
