Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F AFM,TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
A1, VT ,Y,1,34.82534653402521,0.85,0.6045962515029369,0.26222191030280007,1444.3574355787227,0.46046724313805915,1555.5400959041206,5.6819463547206865,39.39221490629789,0.8631446145547373,3.774235775565286,0.34943766471524024,1.5580750533547434,23.932165644679714,0.416552409151765,20.578633452009164,6.941924015138742,0.09717280872234771,0.7930498581803654,0.0,1.303393797629988,0.0
A2, PX  VT ,Y,1,48.174700981067645,0.84,0.6013838469483482,0.2810465441713392,1443.3768606842316,0.46616263967826205,1554.377943956305,5.654569609346282,41.59545292177943,0.6072162410987798,3.3917896578020548,0.6631632256590008,1.1574682048021026,24.207012981107596,1.2119639709956458,20.495819634051045,4.450331554829311,1.6633204382533187,0.39206486014670877,0.0,0.16439630947497277,0.0
A3, PX  VT ,Y,1,50.01802430891732,0.85,0.6089645428099988,0.27983953612032897,1444.164951622539,0.5200211937741108,1555.3123733064758,5.676557935625082,41.419489584054794,0.6181165187665836,3.3819950959327807,0.8378509281967846,1.09797071049471,23.524765225796184,1.16042925082777,20.562342997894287,4.761175892883238,1.6645680856132157,0.39637991941110173,0.0,0.5749157901284666,0.0
A4, PX ,Y,1,48.143304665038194,0.84,0.5994752647347009,0.2819265213269425,1441.2441797008187,0.46237839673706216,1551.833102875083,5.595649646913029,41.68227105113072,0.5986065685996594,3.6548015461874543,0.7165901609744046,1.151292446208533,24.1871893423828,1.2830648939261353,20.31718564202878,4.307987831879125,1.6072396939496518,0.35214211574888366,0.0,0.14162870698382052,0.0
A5, PX ,Y,1,57.22480310175837,0.84,0.6056655940243952,0.2871770511242751,1443.556637098005,0.4962591921593441,1554.5913919917216,5.659575136610109,42.49487412350118,0.5632743574254186,3.413649886238204,0.8103006717515222,1.0091316100072567,23.79490039628177,1.229280636193137,20.510970044715684,3.3832427893894783,1.8026873890056443,0.43002923411932703,0.0,0.5576588613713623,0.0
A6, PX ,Y,1,52.33489756196885,0.84,0.6033551254000891,0.2938856896499389,1430.3598360463614,0.5329125329403547,1538.5197760438036,5.3073192116830565,43.62445427748102,0.5831310918943075,4.012224512443552,1.0757916775271286,0.9553048545950655,22.31789783168042,1.3346022579620331,19.434930400375777,3.7043635687905656,1.7714184852007633,0.8798833643160779,0.0,0.3059976777332778,0.0
A7, PX  VT ,Y,1,45.64161770737065,0.85,0.6020843756302344,0.2772023500918891,1437.2423815442778,0.5188054438001192,1546.9980868416717,5.487309250309016,41.27286426456597,0.7879639622484835,3.667315490679801,1.0409268714769184,1.5464133424127944,23.46204139417347,1.2922101902440097,19.98726770176048,5.291823334306716,0.4049187988120796,0.32760143364850014,0.0,0.918653215670737,0.0
A8, PX ,Y,1,53.039623419949145,0.85,0.6211494858915942,0.28174303142963586,1449.157960548296,0.5613180241627239,1561.152102734089,5.818688503235205,41.88771949486257,0.5803195692858285,3.1413861936383545,0.7697119072329698,1.2139614465339772,22.80960651673087,1.149292901257442,20.99051647623145,4.655958233099263,1.733635570114563,0.4783229840216994,0.0,0.5895687069909502,0.0
A9, PX  VT ,Y,1,51.19799048935081,0.84,0.5864474992690857,0.2769559810041887,1437.8349816289929,0.39659039474826585,1547.718757101889,5.5031752780516605,40.70176203923453,0.6030807979738038,3.5850617183733435,0.717016198776965,1.3695833677629008,25.177441908707483,1.004850454491388,20.03570129469673,4.719697112611664,1.5031569740613058,0.40611098266878315,0.0,0.17653715064103903,0.0
A10, PX ,Y,1,36.84620313279322,0.83,0.5977007312494,0.30542822383580603,1393.5104688050646,0.4940403076219629,1490.7777664363987,4.454408657404828,46.68830483711063,0.6224617869782016,3.94902434962051,0.970217975369232,1.107061187574656,19.63200213550148,1.566514492512519,16.741063056798282,4.573689360273154,2.8836175856521793,0.5822936421535954,0.0,0.683749590455555,0.0
A11, PX ,Y,1,48.81804223005825,0.84,0.5969868855592655,0.2901723053996475,1428.457469691731,0.494978377206049,1536.1439497172737,5.258898221316093,42.843265866442025,0.6136459163619953,4.122957962200927,0.9584756699594428,1.2091186492041095,22.795618995964773,1.0958669319300498,19.28542207761102,4.347538621001275,1.6564013429035835,0.6675996912614329,0.0,0.40408827515935347,0.0
A12, PX ,Y,1,36.41660313546905,0.83,0.5922282839482967,0.30588692888721375,1385.173010618539,0.4668294064807478,1479.6377790050522,4.282435852722604,46.82909970464388,0.6597899389023609,3.9814301340781686,0.9691726691755285,1.0850866921643132,19.452163391538868,1.590452970763672,16.181498873183713,5.159934967224443,2.8895559675237945,0.5849733041269629,0.0,0.6168413866742877,0.0
A13, PX ,Y,1,46.23729390590105,0.84,0.601872945236856,0.28249064069551655,1439.7870194426403,0.5046326861585212,1550.0812945374512,5.555871226544445,42.12788443325083,0.7865762986975744,3.1129872766739073,0.943553426372515,1.3495589036813398,23.80169427388796,1.1325643153758334,20.196271955420205,4.9089431580122485,0.34053697060623705,0.349461566233057,0.0,0.9499674217882428,0.0
A14, PX ,Y,1,51.36828834677198,0.86,0.6320407698639038,0.28541296747989864,1451.94648910999,0.6022116579490654,1564.3481286972208,5.900291513244732,42.67254055714662,0.5874959355092845,3.129891956717175,0.7109403124147509,1.1808668826769742,21.88294562558667,1.062124253700688,21.23493610554588,4.532981639746978,1.8110922244658858,0.5503224250693992,0.0,0.6438620814196822,0.0
A15, PX ,Y,1,47.23665437989111,0.84,0.6007931620668474,0.28284351013993697,1442.4338622781581,0.4702482566326439,1553.2555657056307,5.628413106016392,41.4887898018454,0.49363523479844995,3.5041581432569133,0.829019516545582,1.3752012547873345,24.174337955560702,1.2125785560044366,20.416586245338973,3.100188070724438,1.8772747448235632,0.9078830804811899,0.0,0.6203473958329739,0.0
