Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F (Fe/Mg),TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
A1, VT ,Y,1,36.23461385174024,0.86,0.6105738612313847,0.2615899589148248,1448.4228835265155,0.999960177478938,1560.3014978021147,5.797449292062904,39.39930406648039,0.8515078347279984,3.7229613411136357,0.34619490075424614,1.53638408237844,23.79174806480234,0.4140718215159116,20.92673226891058,6.848017908974598,0.09582000317607829,0.7820092979586268,0.0,1.285248409207131,0.0
A2, PX  VT ,Y,1,48.38246822389665,0.84,0.6022435806804958,0.2809396152970038,1443.9621407761945,1.0000369578640336,1555.0722183911412,5.670888082288844,41.59135249530728,0.6060043199680427,3.3849669899567636,0.6622493208248628,1.1550832997210465,24.187632782476864,1.2108875412870808,20.545196759006714,4.441418632050349,1.6598932500608856,0.39125703020098057,0.0,0.16405757913910085,0.0
A3, PX  VT ,Y,1,50.28752060753945,0.85,0.6100750477130166,0.27970459078694426,1444.9284462963126,0.3457955754689704,1556.2144647340274,5.697973158787777,41.41480106946317,0.6165187952139253,3.373183901099746,0.8363565622223039,1.0950408012623603,23.50028473834186,1.1590987236417813,20.627059217166256,4.7488261374953336,1.6601262245004405,0.39532218884115117,0.0,0.573381640751602,0.0
A4, PX ,Y,1,48.35617109443092,0.84,0.600363694727838,0.28181341997760445,1441.8515408366643,0.2935342784046146,1552.5601941660361,5.612343608157628,41.67780065583762,0.5973828905673058,3.6472699403488953,0.7155799447544442,1.1488628026357879,24.167617739162875,1.2819047593353812,20.367854583277655,4.299150059685336,1.6038478367328988,0.3513989684876993,0.0,0.14132981917406146,0.0
A5, PX ,Y,1,57.43406072396131,0.84,0.6065235085570962,0.2870632588553424,1444.14428562118,0.3223610594019927,1555.287912090988,5.675979830269175,42.48880342514717,0.5621416315081227,3.406731111386133,0.8091771642070242,1.007036389374657,23.776332939280508,1.2281847888903723,20.560594978015736,3.3764156355620534,1.7989445394366526,0.4291363811802131,0.0,0.5565010160113415,0.0
A6, PX ,Y,1,63.195378398504,0.86,0.6469281261728711,0.2879929459546647,1461.0250051013684,0.517391053389963,1574.3732095910389,6.178162396014571,43.22075376376657,0.5251972570616555,3.6104918402757407,1.0012160707946087,0.8574589622358655,21.4607326640754,1.2749854798390092,22.05969032013077,3.335071781032825,1.5899831856810918,0.7897624227764114,0.0,0.27465625233002605,0.0
A7, PX  VT ,Y,1,47.26521225449159,0.85,0.6090900913745992,0.27620885421576663,1442.021429046192,0.36374021840169685,1552.7632415661806,5.617025294903467,41.245748659274405,0.7757351807030437,3.6099265528670976,1.0298421969528069,1.5216312225888347,23.31745703746104,1.2834942878588251,20.38205630451165,5.209396067481197,0.39842975353814397,0.32235144145009403,0.0,0.9039312953128222,0.0
A8, PX ,Y,1,53.31917855520397,0.85,0.6222726391266786,0.2816035057936287,1449.92831898309,0.38998122562950666,1562.0399708565665,5.841067491186992,41.881864656159394,0.5787633235398147,3.132898798903337,0.7682857763000548,1.2106003902402516,22.784822550552953,1.1479142484584792,21.05764831500698,4.64343117878311,1.7288357086687185,0.476998666449284,0.0,0.5879363869375637,0.0
A9, PX  VT ,Y,1,51.36641563290868,0.84,0.5871643081900513,0.27687149528377336,1438.3247584737067,0.24434954115658586,1548.3131851815463,5.516334218875904,40.69976094393187,0.6021048123525649,3.5792117657227664,0.7162165602606413,1.3672952377268515,25.16108478489106,1.0041341759005167,20.075840119792286,4.712031196543503,1.500645685809562,0.40543250280455134,0.0,0.1762422142637668,0.0
A10, PX ,Y,1,52.60998076985837,0.87,0.6636033853632599,0.2985294818369871,1447.209702102157,0.6092849542173294,1558.8905637646392,5.762637369425091,45.667476210176375,0.5347701974343679,3.386322365698507,0.8764986049832963,0.9463679185762125,18.81500192259758,1.4779947348601,20.82203631053177,3.9262066952505927,2.465051799424036,0.4977719644677705,0.0,0.584501275999367,0.0
A11, PX ,Y,1,58.188053758720784,0.86,0.6355915060550446,0.28502684773579423,1455.6333077595866,0.4597895307877955,1568.4937887399133,6.010796414822914,42.55967266915063,0.5606776975444827,3.764143612193175,0.9010010307519566,1.1014935443612228,22.038599817605686,1.0539302542556195,21.56430910769816,3.9709134668666204,1.5089630676696018,0.6081758400021829,0.0,0.3681198919006605,0.0
A12, PX ,Y,1,51.06879490491751,0.86,0.6554502307216785,0.29960156855255077,1437.694606821529,0.5705399121289956,1547.5481876556823,5.49941146724204,45.844941123474264,0.5729359445198228,3.4507431401897306,0.8824908910916002,0.937885304929327,18.76315187684333,1.5101984479848796,20.024215353468257,4.477097047067176,2.4975627286570994,0.505616620016157,0.0,0.5331615217583348,0.0
A13, PX ,Y,1,46.44688186131491,0.84,0.6027771276906106,0.2823487132342584,1440.394949003693,0.33001040883757665,1550.8134044131114,5.572420320537687,42.12251724233824,0.7849924818796771,3.106669180438384,0.942251105118274,1.3467520996962858,23.78306229396206,1.13156963621352,20.24660670962413,4.899024082824258,0.3398287239905847,0.34873475830044254,0.0,0.9479916856140949,0.0
A14, PX ,Y,1,55.28287537013383,0.87,0.6471813958299357,0.283423509672362,1462.2620023473596,0.49797054678200803,1575.688242845282,6.217590036430975,42.56764533478255,0.5657502590066887,3.013254562639715,0.6926491156524419,1.1357577183303063,21.549769520653346,1.0442098799434953,22.17579165399622,4.364696920956796,1.7419084256830788,0.5293000853965004,0.0,0.6192665229588448,0.0
