Name,Warning,Solution,P,%Ol,Xfo,Mg#,KD,T Ol/Liq (°C),F AFM,TP (°C),Pi,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
LAR06319, None ,Y,1,4.36924111917862,0.83,0.5963625451283915,0.320241100848291,1394.7555742137693,0.47592403118747345,1492.4342505823827,4.480670762789539,47.72750475039044,0.6280661083373367,5.311275587047026,0.545030810653351,1.1027390152024412,19.571879840721035,0.4782243185579527,16.826006531529256,6.0444007509522395,1.0597400578027178,0.17674374495850198,0.0,0.5283884838476824,0.0
NWA1068-1110, None ,Y,1,-5.615461546346495,0.81,0.5701004952172245,0.31143361721736135,1365.5725816024037,0.3246882212397057,1453.2155719608647,3.902363309329533,46.099852869501774,0.8123054682784826,6.071386608177667,0.6518162213193834,1.202740583501721,19.60557059360837,0.4672911826967917,14.92360642233685,8.34762860477825,1.2048218884958262,0.16909780891169496,0.0,0.4438817483931992,0.0
EETA79001A, None ,Y,1,-7.014187382546598,0.81,0.5822387718097284,0.33820923854392687,1349.6516314516496,0.3986978727536064,1431.631565937849,3.6155199320202533,50.15855834462835,0.7421705039756038,6.273813350409535,0.6409205048076325,1.0865543638511568,17.364808300715865,0.4841468131568063,13.953876938803445,7.701104765640855,0.9139197720328389,0.042507896373620443,0.0,0.6376184456043065,0.0
NWA6234, None ,Y,1,-3.607210459631983,0.82,0.5779467341380232,0.3065973461344879,1386.948586297949,0.3778335858224416,1482.0165748167933,4.318508388519381,45.255675454830346,0.8577951063577527,5.41102871802928,0.6614668308107441,1.239592738944206,20.59771921134405,0.5725194222226773,16.299354566199103,7.083538932718291,1.0892027871944368,0.08378482978418747,0.0,0.848321401564898,0.0
SaU051, None ,Y,1,-27.852947525640182,0.79,0.5293406014755365,0.30810606975414706,1333.5059609470077,0.26272109005608363,1409.7293027583848,3.341946147490382,45.18469636562113,0.5838052639924151,5.777775625875248,0.9204067960443951,1.4541782311747724,19.972369569168666,0.296895288592375,13.011638615070579,11.14226006295228,1.0677820600434482,0.01590493963721564,0.0,0.5722871818275219,0.0
NWA4925, None ,Y,1,-9.984488822374828,0.82,0.5911272634522191,0.33122880674694105,1358.4919993445355,0.4016235521181776,1443.6231389741936,3.77255682363641,49.42263258080918,0.9357384373350569,5.731716013639374,0.33590827781996724,1.1169227679090699,17.45329259690963,0.571500161472719,14.487014672161921,7.8269361595434646,1.0591691661997973,0.07221607951362255,0.0,0.9869530866861744,0.0
NWA5990, VT ,Y,1,-2.243737404037967,0.83,0.5773945721740295,0.29349906108167945,1393.826523452755,0.31248460132455746,1491.198437650292,4.4610602697659365,43.02311438280552,0.7478022641335936,7.210167957728206,0.4226867799862511,1.2740790052935134,21.419079343861583,0.4762241575054502,16.762589959124643,6.793404544725716,0.8210959821222582,0.020787240053728055,0.0,1.0289683826595386,0.0
SaU005, None ,Y,1,-21.790999915088964,0.81,0.580242432027458,0.3363924515004963,1363.5002750453925,0.4544544309359815,1450.4097491403757,3.863986629433752,49.64708021678614,0.5243878181845104,5.672021343444527,0.9054075839174821,1.2815062087917228,18.326895618534152,0.5006209918524167,14.79491020163878,7.175208691684376,0.7544815398064068,0.027664323126234902,0.0,0.3898154622333102,0.0
DaG476-489, None ,Y,1,-28.423630419824864,0.79,0.5524282773041524,0.3465979243763759,1306.8205316562664,0.3609314471708491,1373.6757768868122,2.9227655233858325,51.281169347577894,0.5259208682420888,6.04768775283517,0.9482618883728977,1.23166842429878,16.085642734974194,0.4938522919151772,11.53273285527662,10.425659530196768,0.8143389018894235,0.055420286418745385,0.0,0.557645118002283,0.0
Dho019, None ,Y,1,-7.510326690095173,0.79,0.5443548208878223,0.3303571913265798,1332.445799173653,0.34631899529337973,1408.2924214508557,3.3245418232640667,48.59499011264997,0.5510252496648829,6.28256342624098,1.061444073539895,1.1690943731565842,18.577840401915793,0.4762188309616098,12.951098623971173,8.884406880677853,1.003640500223794,0.05071910467474677,0.0,0.39695842232272155,0.0
Y980459, None ,Y,1,-20.96403318609882,0.8,0.573755655807801,0.3489569368444044,1330.3155738916835,0.3919166655067702,1405.4060398319934,3.289769069935896,51.546446072739265,0.6332816064483093,6.7315952683291655,0.82511472192705,1.1757053821098602,16.49811286755019,0.5082102875388638,12.829925069823593,8.053590467005101,0.8045954337516525,0.023635568659039347,0.0,0.36978725411795604,0.0
NWA5789, None ,Y,1,-18.587180448092962,0.8,0.5822208048526153,0.3486695324846423,1339.843877693165,0.4127029998260228,1418.3238045286694,3.447395316846145,51.43372056678051,0.5627848521113907,6.664605094962971,0.6742952858730207,1.1560985969328315,16.61451453974685,0.48994454543399013,13.376894956587488,7.882462525610814,0.6819364469549781,0.024354873105534948,0.0,0.43838771589962855,0.0
NWA6162, None ,Y,1,-23.852583385313135,0.82,0.5587398474587464,0.3343402014759495,1379.5105937581989,0.5132827301036634,1472.0321654603729,4.169301282381253,49.40833133617819,0.423157125024313,5.206970892413327,0.9730896344024436,1.315569434951271,18.72071085162111,0.5222211548297634,15.810174654935969,6.534240551933907,0.6849204913882654,0.02584605627880245,0.0,0.37476781604263576,0.0
Tissint, None ,Y,1,-5.520581116588471,0.82,0.5776622649111475,0.3187057409371222,1379.9719145717384,0.4211146793305278,1472.6528151211483,4.178412450217961,47.0396327241486,0.6738653882409069,5.383513031002622,0.7818994006187863,1.2152845472821907,19.85171977531067,0.5028585499250511,15.840174688843522,7.440523862261353,0.7155565476841608,0.02952935209079386,0.0,0.5254421325913265,0.0
